Title,DOI,Authors,Date,VectorNoPath,Pathogen_Disease,Overlap Pathogens,Vector,ISO_code,ISO_country,Region,Method,Category,Data,Host species,Human case data,Sampling method
Nonrandom Distribution of Vector Ticks (Dermacentor variabilis) Infected by Francisella tularensis,10.1371/journal.ppat.1000319,"Heidi K. Goethert, Sam R. Telford III*",2009,,Tularemia,,Dermacentor variabilis,USA,the United States of America,Massachusetts,Cluster analysis,"Cluster analysis,Grey data",positive ticks,,,
Long-range dispersal moved Francisella tularensis into Western Europe from the East,doi: 10.1099/mgen.0.000100,Dwibedi et al.,2016,,Tularemia,,,"BEL,DEU,FRA,NLD,ITA,ESP,CHE","Belgium, Germany, France, the Netherlands, Italy, Spain, Switzerland","Europe (Belgium, Germany, France, Netherlands, Italy, Spain and Switzerland)",Mapped shifts in density over time,"Genetic mapping,Grey data,Endemicity mapping","Isolates from infected humans, infected mammals in zoos, arthropod vectors, including ticks, and free-ranging wild animals",,,
Phylogeography of Francisella tularensis: Global Expansion of a Highly Fit Clone,doi: 10.1128/JB.01786-08,Vogler et al.,2009,,Tularemia,,,,Global,"North America, Global",Mapped phylogeographic distribution,"Genetic mapping,Endemicity mapping",Genome sequences from databases,,,
Landscape Epidemiology of Tularemia Outbreaks in Sweden,doi: 10.3201/eid1512.090487,Svensson et al.,2009,,Tularemia,,,SWE,Sweden,Sweden,Spatial descriptive statistics and mapped distribution of samples,"Genetic mapping,Grey data,Cluster analysis",Patient isolates,Human,checked,
Population Genomics of Francisella tularensis subsp. holarctica and its Implication on the Eco-Epidemiology of Tularemia in Switzerland,doi: 10.3389/fcimb.2018.00089,Wittwer et al.,2018,,Tularemia,,Ixodes ricinus,CHE,Switzerland,Switzerland,"Spatial interpolation (kriging), mapped relative risk","Risk mapping,Cluster analysis,Genetic mapping",Screened tick pools and human clinical samples,Human,checked,flagging
Cross Sectional Study and Risk Factors Analysis of Francisella tularensis in Soil Samples in Punjab Province of Pakistan,doi: 10.3389/fcimb.2019.00089,Muhammad et al.,2019,,Tularemia,,,PAK,Pakistan,Pakistan,Mapped distribution of positive soil samples and seropositive livestock,"Grey data,Prevalence mapping","Soil samples screened for pathogen, serum from ruminants","Sheep,Goat,Cattle,Buffalo",,
Genetic Diversity and Spatial Segregation of Francisella tularensis Subspecies holarctica in Germany,doi: 10.3389/fcimb.2019.00376,Appelt et al.,2019,,Tularemia,,,DEU,Germany,Germany,Mapped distribution of clades,Genetic mapping,Isolates from humans and animal hosts,"Human,Boar,Wild canid,Hare",checked,
Phylogeography and Genetic Diversity of Francisella tularensis subsp. holarctica in France (1947–2018),doi: 10.3389/fmicb.2020.00287,Kevin et al.,2020,,Tularemia,,,FRA,France,France,SaTScan and mapped distribution of samples,"Cluster analysis,Genetic mapping",Reference samples and bacterial strains sampled from hosts in the field,"Human,Hare,Boar,Rodent,Deer",checked,
An Acarologic Survey and Amblyomma americanum Distribution Map with Implications for Tularemia Risk in Missouri,doi: 10.4269/ajtmh.2011.10-0593,Brown et al.,2011,checked,Tularemia,,Amblyomma americanum,USA,the United States of America,"Missouri, USA",Projected stepwise logistic regression,"Grey data,Prevalence mapping,Risk mapping",Tick density,,,dragging
"Historical distribution and host-vector diversity of Francisella tularensis, the causative agent of tularemia, in Ukraine",https://doi.org/10.1186/s13071-014-0453-2,"Jake Hightower, Ian T Kracalik, Nataliya Vydayko, Douglas Goodin, Gregory Glass & Jason K Blackburn ",2014,,Tularemia,,Dermacentor sp.,UKR,Ukraine,Ukraine,SaTScan,"Cluster analysis,Grey data","arthropods [n = 2,045 (66.3%)] followed by mammals [n = 619 (20.1%)], water [n = 393 (12.7%)], and farm produce [n = 29 (0.94%)]","Hare,Rodent",,
"Human cases of tularemia in Armenia, 1996–2012",https://doi.org/10.4269/ajtmh.16-0605,"Syuzanna Melikjanyan1, Karo Palayan1, Artavazd Vanyan1, Lilit Avetisyan1, Nune Bakunts1, Marine Kotanyan1, Marta Guerra2",2017,,Tularemia,,,ARM,Armenia,Armenia,"hot spot Getis-Ord-Gi*, suitability map of increased risk areas in Armenia","Cluster analysis,Risk mapping,Prevalence mapping",human cases,Human,checked,
Different Ecological Niches for Ticks of Public Health Significance in Canada,https://dx.doi.org/10.1371%2Fjournal.pone.0131282,"Vanessa Gabriele-Rivet, 1 Julie Arsenault, 1 , 2 Jacqueline Badcock, 3 Angela Cheng, 4 Jim Edsall, 5 Jim Goltz, 6 Joe Kennedy, 7 L. Robbin Lindsay, 8 Yann Pelcat, 9 and Nicholas H. Ogden 1 , 9 ,*",2015,,Tularemia,,,CAN,Canada,Canada,SaTScan and logistic regression,"Grey data,Cluster analysis",tick occurrence,,,
